키워드순번,품목키워드,키워드레벨,상위키워드순번,판정결과코드,종결여부,사용여부,자동완성용키워드
2092,네트워크 접근제어기,3,2079,3,Y,Y,ㄴㅔㅌㅡㅇㅝㅋㅡ ㅈㅓㅂㄱㅡㄴㅈㅔㅇㅓㄱㅣ
2093,링크 당 전송속도 2.0Gbyte/s 이하,3,2079,2,Y,Y,ㄹㅣㅇㅋㅡ ㄷㅏㅇ ㅈㅓㄴㅅㅗㅇㅅㅗㄱㄷㅗ 2.0Gbyte/s ㅇㅣㅎㅏ
2094,민간 항공기용 컴퓨터,3,2073,3,Y,Y,ㅁㅣㄴㄱㅏㄴ ㅎㅏㅇㄱㅗㅇㄱㅣㅇㅛㅇ ㅋㅓㅁㅍㅠㅌㅓ
2095,민간 항공기용 컴퓨터,3,2084,3,Y,Y,ㅁㅣㄴㄱㅏㄴ ㅎㅏㅇㄱㅗㅇㄱㅣㅇㅛㅇ ㅋㅓㅁㅍㅠㅌㅓ
2096,민수 자동차용 컴퓨터,3,2073,3,Y,Y,ㅁㅣㄴㅅㅜ ㅈㅏㄷㅗㅇㅊㅏㅇㅛㅇ ㅋㅓㅁㅍㅠㅌㅓ
2097,사용온도 범위 -45°C 이상 85°C 이하,3,2073,2,Y,Y,ㅅㅏㅇㅛㅇㅇㅗㄴㄷㅗ ㅂㅓㅁㅇㅟ -45°C ㅇㅣㅅㅏㅇ 85°C ㅇㅣㅎㅏ
2098,수동형 연결장비,3,2079,3,Y,Y,ㅅㅜㄷㅗㅇㅎㅕㅇ ㅇㅕㄴㄱㅕㄹㅈㅏㅇㅂㅣ
2099,철도용 컴퓨터,3,2073,3,Y,Y,ㅊㅓㄹㄷㅗㅇㅛㅇ ㅋㅓㅁㅍㅠㅌㅓ
2101,최대 구성 후 APP (최적수행성능) 15 WT 이하인 컴퓨터의 개발 소프트웨어,3,2087,2,Y,Y,ㅊㅚㄷㅐ ㄱㅜㅅㅓㅇ ㅎㅜ APP (ㅊㅚㅈㅓㄱㅅㅜㅎㅐㅇㅅㅓㅇㄴㅡㅇ) 15 WT ㅇㅣㅎㅏㅇㅣㄴ ㅋㅓㅁㅍㅠㅌㅓㅇㅢ ㄱㅐㅂㅏㄹ ㅅㅗㅍㅡㅌㅡㅇㅞㅇㅓ
2102,최대 구성 후 APP (최적수행성능) 29WT 이하,3,2077,2,Y,Y,ㅊㅚㄷㅐ ㄱㅜㅅㅓㅇ ㅎㅜ APP (ㅊㅚㅈㅓㄱㅅㅜㅎㅐㅇㅅㅓㅇㄴㅡㅇ) 29WT ㅇㅣㅎㅏ
2103,통신채널제어기,3,2079,3,Y,Y,ㅌㅗㅇㅅㅣㄴㅊㅐㄴㅓㄹㅈㅔㅇㅓㄱㅣ
2104,원격통신 전송장비 또는 교환기 개발 장비,1,,,,Y,ㅇㅝㄴㄱㅕㄱㅌㅗㅇㅅㅣㄴ ㅈㅓㄴㅅㅗㅇㅈㅏㅇㅂㅣ ㄸㅗㄴㅡㄴ ㄱㅛㅎㅘㄴㄱㅣ ㄱㅐㅂㅏㄹ ㅈㅏㅇㅂㅣ
2105,정보보안 개발/생산/사용 소프트웨어,1,,,,Y,ㅈㅓㅇㅂㅗㅂㅗㅇㅏㄴ ㄱㅐㅂㅏㄹ/ㅅㅐㅇㅅㅏㄴ/ㅅㅏㅇㅛㅇ ㅅㅗㅍㅡㅌㅡㅇㅞㅇㅓ
2106,특정 전기통신 소프트웨어,1,,,,Y,ㅌㅡㄱㅈㅓㅇ ㅈㅓㄴㄱㅣㅌㅗㅇㅅㅣㄴ ㅅㅗㅍㅡㅌㅡㅇㅞㅇㅓ
2107,수중 통신 장비,1,,,,Y,ㅅㅜㅈㅜㅇ ㅌㅗㅇㅅㅣㄴ ㅈㅏㅇㅂㅣ
2110,암호화 기능 포함 장비/부품,1,,,,N,ㅇㅏㅁㅎㅗㅎㅘ ㄱㅣㄴㅡㅇ ㅍㅗㅎㅏㅁ ㅈㅏㅇㅂㅣ/ㅂㅜㅍㅜㅁ
2112,극한 환경 통신장비,1,,,,Y,ㄱㅡㄱㅎㅏㄴ ㅎㅘㄴㄱㅕㅇ ㅌㅗㅇㅅㅣㄴㅈㅏㅇㅂㅣ
2113,급조 폭발물 방지 장비,1,,,,Y,ㄱㅡㅂㅈㅗ ㅍㅗㄱㅂㅏㄹㅁㅜㄹ ㅂㅏㅇㅈㅣ ㅈㅏㅇㅂㅣ
2115,암호 활성화 장비/부품,1,,,,N,ㅇㅏㅁㅎㅗ ㅎㅘㄹㅅㅓㅇㅎㅘ ㅈㅏㅇㅂㅣ/ㅂㅜㅍㅜㅁ
2117,안테나,1,,,,Y,ㅇㅏㄴㅌㅔㄴㅏ
